Sharp MZ-80B Keyboard Matrix
Key,Pin 1,Row,Pin 2,Column
EJECT,J1-1,,J1-6,
STOP,J1-2,,J1-3,
REW,J1-4,,J1-6,
FF,J1-5,,J1-6,
],J2-10,1,J2-1,0
CLR HOME,J2-10,1,J2-3,2
INST DEL,J2-10,1,J2-4,3
8,J2-11,2,J2-1,0
9,J2-11,2,J2-2,1
:,J2-11,2,J2-3,2
;,J2-11,2,J2-4,3
-,J2-11,2,J2-5,4
@,J2-11,2,J2-6,5
[,J2-11,2,J2-7,6
0,J2-12,3,J2-1,0
1,J2-12,3,J2-2,1
2,J2-12,3,J2-3,2
3,J2-12,3,J2-4,3
4,J2-12,3,J2-5,4
5,J2-12,3,J2-6,5
6,J2-12,3,J2-7,6
7,J2-12,3,J2-8,7
X,J2-13,4,J2-1,0
Y,J2-13,4,J2-2,1
Z,J2-13,4,J2-3,2
^,J2-13,4,J2-4,3
\,J2-13,4,J2-5,4
?,J2-13,4,J2-6,5
.,J2-13,4,J2-7,6
",",J2-13,4,J2-8,7
P,J2-14,5,J2-1,0
Q,J2-14,5,J2-2,1
R,J2-14,5,J2-3,2
S,J2-14,5,J2-4,3
T,J2-14,5,J2-5,4
U,J2-14,5,J2-6,5
V,J2-14,5,J2-7,6
W,J2-14,5,J2-8,7
I,J2-15,6,J2-1,0
H,J2-15,6,J2-2,1
J,J2-15,6,J2-3,2
K,J2-15,6,J2-4,3
L,J2-15,6,J2-5,4
M,J2-15,6,J2-6,5
N,J2-15,6,J2-7,6
O,J2-15,6,J2-8,7
/,J2-16,7,J2-1,0
A,J2-16,7,J2-2,1
B,J2-16,7,J2-3,2
C,J2-16,7,J2-4,3
D,J2-16,7,J2-5,4
E,J2-16,7,J2-6,5
F,J2-16,7,J2-7,6
G,J2-16,7,J2-8,7
TAB,J2-17,8,J2-1,0
SPACE,J2-17,8,J2-2,1
CR,J2-17,8,J2-3,2
NP ENT,J2-17,8,J2-3,2
UP,J2-17,8,J2-4,3
DOWN,J2-17,8,J2-5,4
LEFT,J2-17,8,J2-6,5
RIGHT,J2-17,8,J2-7,6
BREAK,J2-17,8,J2-8,7
NP 0,J2-18,9,J2-1,0
NP 1,J2-18,9,J2-2,1
NP 2,J2-18,9,J2-3,2
NP 3,J2-18,9,J2-4,3
NP 4,J2-18,9,J2-5,4
NP 5,J2-18,9,J2-6,5
NP 6,J2-18,9,J2-7,6
NP 7,J2-18,9,J2-8,7
F9,J2-19,10,J2-1,0
F10,J2-19,10,J2-2,1
NP 8,J2-19,10,J2-3,2
NP 9,J2-19,10,J2-4,3
NP 00,J2-19,10,J2-5,4
NP DOT,J2-19,10,J2-6,5
NP PLUS,J2-19,10,J2-7,6
NP MINUS,J2-19,10,J2-8,7
F1,J2-20,11,J2-1,0
F2,J2-20,11,J2-2,1
F3,J2-20,11,J2-3,2
F4,J2-20,11,J2-4,3
F5,J2-20,11,J2-5,4
F6,J2-20,11,J2-6,5
F7,J2-20,11,J2-7,6
F8,J2-20,11,J2-8,7
GRPH,J2-9,0,J2-1,0
SFT LOCK,J2-9,0,J2-2,1
LH SHIFT,J2-9,0,J2-3,2
RH SHIFT,J2-9,0,J2-3,2
カナ  RVS,J2-9,0,J2-4,3
