Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
C1,1,1000µF,CP_Radial_D16.0mm_P7.50mm,,,,tht,Polarized capacitor
"C2, C4, C6, C8",4,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor
"C3, C5, C7",3,100µF,CP_Radial_D7.5mm_P2.50mm,,,,tht,Polarized capacitor
J1,1,To Tape Solenoid,TJC1-1A,,,,tht,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,DC In,TJC1-2A,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,To Motherboard,TJC1-4A,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,To Tape Deck,TJC1-3A,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
U1,1,PSU6,TO-3,,,,tht,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
U2,1,PSU5,TO-3,,,,tht,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
U3,1,R-78CK5.0-0.5,TO-220-3_Vertical,,,,tht,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
