Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C10, C11, C12, C13, C14, C5, C6, C8",9,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor
C15,1,220pF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor
C7,1,470pF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor
C9,1,100µF,CP_Radial_D5.0mm_P2.50mm,,,,tht,Polarized capacitor
CN1,1,To CPU Board,PinHeader_2x20_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
CN2,1,To CPU Board,PinHeader_2x05_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
CN3,1,To MZ-80GMK,PinHeader_2x05_P2.54mm_Horizontal,,,,tht,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
IC1,1,62256,DIP-28_W15.24mm,,,,tht,"256K (32K x 8) Static RAM, 70ns, DIP-28"
"IC10, IC11, IC12",3,74LS93,DIP-14_W7.62mm,,,,tht,Divide by 2 & 8 counter
IC13,1,74LS245,DIP-20_W7.62mm,,,,tht,"Octal BUS Transceivers, 3-State outputs"
IC14,1,74LS165,DIP-16_W7.62mm,,,,tht,"Shift Register 8-bit, parallel load"
IC15,1,74LS175,DIP-16_W7.62mm,,,,tht,"4-bit D Flip-Flop, reset"
IC16,1,74LS04,DIP-14_W7.62mm,,,,tht,Hex Inverter
IC17,1,74LS107,DIP-14_W7.62mm,,,,tht,"Dual JK Flip-Flop, reset"
"IC18, IC20",2,74LS32,DIP-14_W7.62mm,,,,tht,Quad 2-input OR
IC19,1,74LS08,DIP-14_W7.62mm,,,,tht,Quad And2
IC21,1,74LS00,DIP-14_W7.62mm,,,,tht,quad 2-input NAND gate
"IC5, IC6, IC7, IC8",4,74LS157,DIP-16_W7.62mm,,,,tht,Quad 2 to 1 line Multiplexer
"R1, R2, R3, R4",4,1KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor
R5,1,47Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor
R6,1,100Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor
